label,text
fake,"Breaking: secret alien base discovered under the ocean and government officials are hiding the truth from the public."
fake,"Miracle herb cures diabetes in two days, doctors do not want you to know this shocking fact."
fake,"Celebrity reveals that drinking only hot water for one week can completely remove all body fat."
fake,"Scientists confirm that the earth will lose gravity for five minutes next month according to leaked reports."
fake,"A viral post claims every bank account will be closed tomorrow unless users share a warning message."
fake,"New study totally proves mobile towers control human thoughts through invisible brain waves."
fake,"Hidden camera footage shows teachers are being replaced by robots in every major city school."
fake,"Government plans to ban all cash by midnight and seize money stored at home, says anonymous source."
fake,"Social media post says eating chocolate three times a day guarantees perfect exam scores."
fake,"Shocking video proves a famous actor is actually a time traveler from the year 3000."
fake,"Unknown website reports that vaccines contain secret tracking chips activated by street lights."
fake,"Forwarded message says a rare blood moon will cause phones to explode if left charging overnight."
fake,"A blog claims students can pass any exam by listening to ultrasonic success frequencies while sleeping."
fake,"Leaked files show that bottled water companies are filling bottles directly from bathroom taps."
fake,"Anonymous experts say all weather forecasts are fake and storms are created by underground machines."
real,"The city health department announced a new vaccination drive for children starting Monday at government clinics."
real,"The university released the semester examination timetable on its official website for all final year students."
real,"The finance ministry presented the annual budget with revised allocations for health, education, and transport."
real,"Researchers at a public university published findings on air pollution levels in major urban areas."
real,"The railway department introduced additional trains during the holiday season to manage passenger demand."
real,"The local municipal corporation launched a waste segregation awareness campaign across residential neighborhoods."
real,"The election commission issued updated polling guidelines and voter identification requirements for the state election."
real,"The meteorological department forecast moderate rainfall in coastal districts over the next two days."
real,"A district hospital opened a new emergency wing with additional beds and trauma care facilities."
real,"The education board announced scholarship applications for students from low income families."
real,"Police confirmed traffic diversions in the city center ahead of the weekend cultural festival."
real,"The agriculture department advised farmers to prepare for early monsoon conditions this season."
real,"The public transport authority increased bus frequency on major office routes during peak hours."
real,"A technology company launched a new budget smartphone with improved battery life and camera features."
real,"The state government signed an agreement to build new solar power projects in rural districts."
